config_id,overall_MAPE,overall_NMSE,runtime_sec,s0_MAPE,s0_NMSE,s1_MAPE,s1_NMSE,s2_MAPE,s2_NMSE,s3_MAPE,s3_NMSE,s4_MAPE,s4_NMSE,s5_MAPE,s5_NMSE
0,0,0,0.46708663499999997,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0.32945257300000003,0,0,0,0,0,0,0,0,0,0,0.00073691275757772434,1.017642263681214e-07
2,0,0,0.30855169100000002,0,0,0,0,0,0,0,0,0,0,0.0020897457832725727,7.133946667246938e-07
3,0,0,0.352351205,0,0,0,0,0,0,0,0,0,0,0.0046713869740736399,3.5621158608966306e-06
4,0,0,0.35738514900000001,0,0,0,0,0,0,0,0,0,0,0.0094673376615136643,1.5803755559712259e-05
5,0,0,0.30323770900000002,0,0,0,0,0,0,0,0,0,0,0.018436560699085457,6.6669330534709393e-05
6,0,0,0.43659915900000001,0,0,0,0,0,0,0,0,0,0,0.035299224261615122,0.00027203686528506433
7,0,0,0.314770775,0,0,0,0,0,0,0,0,0,0,0.066925301383199784,0.0010976716341893321
8,0,0,0.30529771900000002,0,0,0,0,0,0,0,0,0,0,0.12482140519422169,0.0043929082768954294
9,0.017853308042273225,0.0061128677149420085,0.32906089199999999,0,0,0,0,0,0,0,0,0,0,0.23835386535479269,0.017767155452867944
10,0.0007154408482573215,3.043999564602165e-07,0.39284268100000003,0,0,0,0,0,0,0,0,0.0072555615269624344,3.1365272899216516e-06,0,0
11,0.0007154408482573215,3.043999564602165e-07,0.44468881399999999,0,0,0,0,0,0,0,0,0.0072555615269624344,3.1365272899216516e-06,0.0046713869740736399,3.5621158608966306e-06
12,0.0007154408482573215,3.043999564602165e-07,0.376428969,0,0,0,0,0,0,0,0,0.0072555615269624344,3.1365272899216516e-06,0.0094673376615136643,1.5803755559712259e-05
13,0.0019341246153998365,2.1186734658523743e-06,0.30813594500000002,0,0,0,0,0,0,0,0,0.019542957487582578,2.1920897010672351e-05,0,0
14,0.0019341246153998365,2.1186734658523743e-06,0.53329251799999999,0,0,0,0,0,0,0,0,0.019542957487582578,2.1920897010672351e-05,0.0046713869740736399,3.5621158608966306e-06
15,0.0019341246153998365,2.1186734658523743e-06,0.332877859,0,0,0,0,0,0,0,0,0.019542957487582578,2.1920897010672351e-05,0.0094673376615136643,1.5803755559712259e-05
16,0.0019341246153998365,2.1186734658523743e-06,0.42898819199999999,0,0,0,0,0,0,0,0,0.019542957487582578,2.1920897010672351e-05,0.035299224261615122,0.00027203686528506433
17,0.0019341246153998365,2.1186734658523743e-06,0.33480153699999998,0,0,0,0,0,0,0,0,0.019542957487582578,2.1920897010672351e-05,0.12482140519422169,0.0043929082768954294
18,0.019787432657673892,0.0061149863884078608,0.31040418600000003,0,0,0,0,0,0,0,0,0.019542957487582578,2.1920897010672351e-05,0.23835386535479269,0.017767155452867944
19,0.0041053229627482507,1.0592024359234019e-05,0.32178813099999998,0,0,0,0,0,0,0,0,0.041005308662877701,0.00010943307334319948,0,0
20,0.0041053229627482507,1.0592024359234019e-05,0.43161669000000003,0,0,0,0,0,0,0,0,0.041005308662877701,0.00010943307334319948,0.018436560699085457,6.6669330534709393e-05
