config_id,overall_MAPE,overall_NMSE,runtime_sec,s0_MAPE,s0_NMSE,s1_MAPE,s1_NMSE,s2_MAPE,s2_NMSE,s3_MAPE,s3_NMSE,s4_MAPE,s4_NMSE,s5_MAPE,s5_NMSE
0,0,0,0.42547806799999999,0,0,0,0,0,0,0,0,0,0,0,0
1,0.00085602641375796568,3.8257700671981884e-05,0.48785762799999999,0,0,0.0070538581727384439,2.9911722163954058e-06,0,0,0,0,0,0,0,0
2,0.0023355105609404493,9.6329245392396553e-05,0.47710184300000003,0,0,0.019523749686017854,2.0955279582831375e-05,0,0,0,0,0,0,0,0
3,0.0050376643971713876,0.00023843942067978963,0.44782436799999997,0,0,0.040725592931596735,0.00010507916537179608,0,0,0,0,0,0,0,0
4,0.0097754240382586406,0.00049845267725385199,0.50296120499999997,0,0,0.077119332289920364,0.0004635491768056605,0,0,0,0,0,0,0,0
5,0.017777245130583898,0.0010542778833286211,0.39286144499999998,0,0,0.13771161500754689,0.0019340170004380711,0,0,0,0,0,0,0,0
6,0.030822672657560876,0.002233726152503604,0.37166711000000002,0,0,0.2357173310580522,0.007790242378895188,0,0,0,0,0,0,0,0
7,0.051560527944908723,0.0058318303317053686,0.35351669499999999,0,0,0.3875849834043667,0.030606836034647558,0,0,0,0,0,0,0,0
8,0.082102760120788473,0.018284835868418777,0.35476144599999998,0,0,0.60364683471341063,0.11644236414028751,0,0,0,0,0,0,0,0
9,0.12448333654523297,0.062226334307618376,0.366688403,0,0,0.84787531887089373,0.39984201256859431,0,0,0,0,0,0,0,0
10,0.13355080913257744,0.077059471888876796,0.36610754099999998,0,0,0.94742422846019936,0.74368543408776333,0,0,0,0,0,0,0,0
11,0.13355080913257744,0.077059471888876796,0.37698655599999997,0,0,0.9678497314453125,1,0,0,0,0,0,0,0,0
12,0.13355080913257744,0.077059471888876796,0.367903969,0,0,0.9678497314453125,1,0,0,0,0,0,0,0,0
13,0.13355080913257744,0.077059471888876796,0.35729935200000001,0,0,0.9678497314453125,1,0,0,0,0,0,0,0,0
14,0.13355080913257744,0.077059471888876796,0.38434528499999998,0,0,0.9678497314453125,1,0,0,0,0,0,0,0,0
15,0.13355080913257744,0.077059471888876796,0.40576427700000001,0,0,0.9678497314453125,1,0,0,0,0,0,0,0,0
16,0.13355080913257744,0.077059471888876796,0.361301119,0,0,0.9678497314453125,1,0,0,0,0,0,0,0,0
17,0.00073893893749474066,3.2050572201483318e-07,0.34715508499999997,0.007288309102407518,2.9820392610820737e-06,0,0,0,0,0,0,0,0,0,0
18,0.0015949653512526869,3.8578206393996717e-05,0.35286318300000002,0.007288309102407518,2.9820392610820737e-06,0.0070538581727384439,2.9911722163954058e-06,0,0,0,0,0,0,0,0
19,0.0057766033346661723,0.00023875992640180448,0.397779728,0.007288309102407518,2.9820392610820737e-06,0.040725592931596735,0.00010507916537179608,0,0,0,0,0,0,0,0
20,0.082841699058286797,0.018285156374140792,0.39893699300000002,0.007288309102407518,2.9820392610820737e-06,0.60364683471341063,0.11644236414028751,0,0,0,0,0,0,0,0
