config_id,overall_MAPE,overall_NMSE,runtime_sec,s0_MAPE,s0_NMSE,s1_MAPE,s1_NMSE,s2_MAPE,s2_NMSE,s3_MAPE,s3_NMSE,s4_MAPE,s4_NMSE,s5_MAPE,s5_NMSE,s6_MAPE,s6_NMSE,s7_MAPE,s7_NMSE,s8_MAPE,s8_NMSE,s9_MAPE,s9_NMSE,s10_MAPE,s10_NMSE,s11_MAPE,s11_NMSE,s12_MAPE,s12_NMSE,s13_MAPE,s13_NMSE,s14_MAPE,s14_NMSE,s15_MAPE,s15_NMSE,s16_MAPE,s16_NMSE,s17_MAPE,s17_NMSE,s18_MAPE,s18_NMSE,s19_MAPE,s19_NMSE,s20_MAPE,s20_NMSE,s21_MAPE,s21_NMSE,s22_MAPE,s22_NMSE,s23_MAPE,s23_NMSE,s24_MAPE,s24_NMSE,s25_MAPE,s25_NMSE,s26_MAPE,s26_NMSE,s27_MAPE,s27_NMSE,s28_MAPE,s28_NMSE,s29_MAPE,s29_NMSE,s30_MAPE,s30_NMSE,s31_MAPE,s31_NMSE
0,0,0,0.070907171000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3.9416450554652559e-06,4.4258626682218864e-11,0.069390539000000001,0,0,0.00012613264177488819,1.4104156342024125e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.4977349989043698e-05,3.0998504591792438e-10,0.067803086999999998,0,0,0.00047927519964939834,9.8784754048241572e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3.7007511445946155e-05,1.5499950932465789e-09,0.067906867999999995,0,0,0.0011842403662702769,4.9394603410283697e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,8.201183210445504e-05,6.7227002543381095e-09,0.067730105999999998,0,0,0.0026243786273425613,2.1423623491201474e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.00017485317380127387,2.8291008430083349e-08,0.067714016000000002,0,0,0.0055953015616407639,9.0156617112506725e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.0003504239407048017,1.1652321807413678e-07,0.067720146999999994,0,0,0.011213566102553654,3.7133137839852262e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.00068611479361741076,4.7168210458041589e-07,0.067547093000000002,0,0,0.021955673395757144,1.5031370481745895e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.0013835014438430041,1.9255861651391696e-06,0.067827495000000002,0,0,0.044272046202976131,6.136378455247621e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.0027586998216122933,7.6299079251140185e-06,0.067835160000000005,0,0,0.088278394291593384,0.0002431467542446166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
