config_id,overall_MAPE,overall_NMSE,runtime_sec,s0_MAPE,s0_NMSE,s1_MAPE,s1_NMSE,s2_MAPE,s2_NMSE,s3_MAPE,s3_NMSE
0,0,0,0.013740283000000001,0,0,0,0,0,0,0,0
1,3.6503972608839421e-09,1.5044552082802498e-18,0.013546346000000001,1.4601589043535768e-08,6.0329888984673162e-18,0,0,0,0,0,0
2,1.0259412243592736e-08,1.0420101160204077e-17,0.013404269999999999,4.1037648974370944e-08,4.1785461125345267e-17,0,0,0,0,0,0
3,1.9102365846622436e-08,5.2305863486604834e-17,0.013394812000000001,7.6409463386489743e-08,2.0975080680544348e-16,0,0,0,0,0,0
4,4.5831442903325715e-08,2.3522551984614545e-16,0.013336028,1.8332577161330286e-07,9.432736462059206e-16,0,0,0,0,0,0
5,9.8248451357923713e-08,9.9565902495468297e-16,0.013508353000000001,3.9299380543169485e-07,3.9926744320136971e-15,0,0,0,0,0,0
6,1.6307955259516785e-07,4.0781475390613122e-15,0.013472523,6.523182103806714e-07,1.6353706440747407e-14,0,0,0,0,0,0
7,4.4799325899760755e-07,1.6595061153919336e-14,0.013521338000000001,1.7919730359904302e-06,6.6547557654060526e-14,0,0,0,0,0,0
8,1.0118745857306403e-06,6.5983051327550901e-14,0.013410241999999999,4.0474983429225611e-06,2.6459745292194851e-13,0,0,0,0,0,0
9,1.8277222974805188e-06,2.6459474414608683e-13,0.013475839999999999,7.3108891899220752e-06,1.0610466468130194e-12,0,0,0,0,0,0
10,3.1294275541244116e-06,1.0717838181019336e-12,0.013468585,1.2517710216497646e-05,4.2979411022527307e-12,0,0,0,0,0,0
11,6.8048576568005838e-06,4.254536610557663e-12,0.013528973,2.7219430627202335e-05,1.7061041098696367e-11,0,0,0,0,0,0
12,1.5696212993889934e-05,1.6935461526039076e-11,0.013503573,6.2784851975559736e-05,6.7912591092563531e-11,0,0,0,0,0,0
13,2.8360747766996319e-05,6.6551712526820332e-11,0.013523561999999999,0.00011344299106798528,2.6687783101715501e-10,0,0,0,0,0,0
14,5.6350581648066389e-05,2.7230848025537269e-10,0.013438716999999999,0.00022540232659226556,1.0919793618961257e-09,0,0,0,0,0,0
15,9.0570513521694821e-05,1.085620679660154e-09,0.013398258999999999,0.00036228205408677928,4.3534280530844524e-09,0,0,0,0,0,0
16,0.00022866387633937752,4.3898795056778757e-09,0.013337369999999999,0.00091465550535751007,1.7603777219554389e-08,0,0,0,0,0,0
17,0.0005097365047366804,1.7548961113956565e-08,0.013438356,0.0020389460189467216,7.0372774807405641e-08,0,0,0,0,0,0
