config_id,overall_MAPE,overall_NMSE,runtime_sec,s0_MAPE,s0_NMSE
0,0,0,0.014568826,0,0
1,0.00064589882528814078,3.5242422245644524e-07,0.011065518999999999,0.00064589882528814078,3.5242422245644524e-07
2,0.0019440503037997544,2.4708435333808976e-06,0.0099810720000000006,0.0019440503037997544,2.4708435333808976e-06
3,0.0045140177042396305,1.2329682484394541e-05,0.0098131759999999998,0.0045140177042396305,1.2329682484394541e-05
4,0.0096885299496058848,5.4794143312290946e-05,0.0099005959999999994,0.0096885299496058848,5.4794143312290946e-05
5,0.020059954529285745,0.00023045330900626311,0.0096858380000000004,0.020059954529285745,0.00023045330900626311
6,0.040870405793801849,0.00094670432933602105,0.0095059589999999996,0.040870405793801849,0.00094670432933602105
7,0.082232123954128045,0.0038127139226961618,0.0094870719999999992,0.082232123954128045,0.0038127139226961618
8,0.16387924344090404,0.015354851656042065,0.0094311940000000004,0.16387924344090404,0.015354851656042065
9,0.32129720360068786,0.061166156557943337,0.0093121530000000001,0.32129720360068786,0.061166156557943337
10,0.62587735753511686,0.25420827006517471,0.0083197940000000001,0.62587735753511686,0.25420827006517471
11,0.96129874126504844,0.84087891508958934,0.0062195439999999996,0.96129874126504844,0.84087891508958934
12,1,1,0.0059116050000000003,1,1
13,1,1,0.0054939740000000004,1,1
14,1,1,0.0053199470000000002,1,1
15,1,1,0.0052923329999999998,1,1
16,1,1,0.0053327909999999999,1,1
